A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
EasyEV,Anish Sinha,Transportation,2021,West,,N,2020,N,2021,,,,,,,,,,,Past activity for founder,https://www.linkedin.com/in/anishkumarsinha/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Ecotone Renewables,Kyle Wyche,Agriculture Water & Waste,2021,Northeast,,Y,2024,Y,2026,https://www.ecotonerenewables.com/,,,Copyright 2026,,https://www.linkedin.com/company/ecotonerenewables/,,2026,,,Founder has another older business,https://www.linkedin.com/in/kyle-wyche/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
EH Group Technologies Inc.,Sven Dybdahl,Energy Generation,2021,West,,Y,2024,Y,2025,https://www.ehgroup.ch/,Y,2025,product launch/news,,https://www.linkedin.com/company/eh-group-engineering/,Y,2025,,,Sven Dybdahl,https://www.linkedin.com/in/sveinung-sven-dybdahl-1aab8870/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://hydrogenwire.com/2024/10/28/eh-group-launches-eh-trace-250kw-fuel-cell-system/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021; AP Ventures,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/eh-group-engineering#overview,,,,7,,,"$8,312,642",,,"Grant, Venture",10M,,2022,Swiss Franc,Jan 13,,,CHF5M,Swiss Franc,Jan 13,,,,Seed,Swiss Franc,Jan 13,,,2018,USD,Feb 22,,,Seed,Swiss Franc,,,,2022,Swiss Franc,Jan 13,,,Y,https://fuelcellsworks.com/2024/11/25/clean-hydrogen/eh-group-revolutionizing-fuel-cell-technology-for-a-decarbonized-future,2024,"CHF 5M Seed (AP Ventures, Jan 2022)",N,Y,Third Derivative,2022,,Y,2025,Y,2025,N,N,N,Y,https://www.ehgroup.ch/ (Switzerland HQ; MOU with NIM Japan Nov 2024; H2MARINE EU project),Y,2024,https://hydrogenwire.com/2024/10/28/eh-group-launches-eh-trace-250kw-fuel-cell-system/,Y,2025,https://www.ehgroup.ch/,N,N,Y,https://www.ehgroup.ch/ (PEM fuel cells for heavy-duty/maritime; DNV Approval in Principle 2024; EH-TRACE 250kW system launched Oct 2024),Haoran,5/6/2026
eHempHouse,Peter Miles,Agriculture Water & Waste,2021,Northeast,,Y,2024,Y,2024,Dead website,Y,2024,product/info page,,https://www.linkedin.com/company/ehemphouse-zambia-limited/,Y,2024,,2026,Peter Miles,https://www.linkedin.com/in/milespeter/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://www.hempbuildmag.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/ehemphouse#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://www.ehemphouse.com/ (hemp-based sustainable construction; carbon-negative building material),Haoran,5/6/2026
Energos Inc.,Rajesh Solanki,Energy Distribution & Storage,2021,West,,Y,2022,Y,2025,https://www.energos.ai/,Y,2025,product/service page,,https://www.linkedin.com/company/energos-ai/,Y,2025,,,Rajesh Solanki,https://www.linkedin.com/in/rajesh-solanki/,N,N,N,N,N,N,N,N,N,N,Y,2021,https://yourstory.com/2019/10/tech30-ai-startup-energos-renewable-energy,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021; Shell E4 program,N,N,N,N,N,N,N,N,$237K (2022 est),,,https://www.crunchbase.com/organization/envault#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,Y,"https://energos.ai/ (operations in US, South East Asia, India)",N,N,N,Y,2025,https://energos.ai/,N,N,Y,https://energos.ai/ (AI/IoT edge platform reduces energy costs 40% for C&I customers; integrates renewables/storage/EVs),Haoran,5/6/2026
EnVault,Matthis Herrera,Transportation,2021,South Central,,S,2020,S,2023,https://www.envault.tech/,N,N,N,,https://www.linkedin.com/company/envault/about/,N,N,,,Matthis Herrera,https://www.linkedin.com/in/matthis-herrera-93103224/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/envault,,,,,,,$0,,,,0.04M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
Equilibrium,Paolo Ronchetti,Green Buildings,2021,Northeast,,N,2021,N,2021,https://www.equilibrium-bioedilizia.it/,N,N,N,,N,N,N,,,Paolo Ronchetti,https://it.linkedin.com/in/equilibriumcanapaecalce/en/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/equilibrium-cf3a#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
EV Life,Peter Glenn,Transportation,2021,West,,Y,2022,Y,2025,https://evlife.co/,Y,2025,blog/newsroom,,https://www.linkedin.com/company/ev-life,Y,2025,,,Peter Glenn,https://www.linkedin.com/in/peterjglenn/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://evlife.co/blog/category/newsroom,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021; Gaingels; Growthfactory,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/ev-life,,,,4,,,"$8,000,000",,,Venture,9.45M,,2023,USD ,Oct 6,,,$8M,USD,Oct 6,,,,Debt Financing,USD,Oct 6,,,2023,USD,Oct 6,,,Debt Financing,USD,Oct 6,,,2023,USD,Oct 6,,,Y,https://evlife.co/blog/category/newsroom,2023,"$8M debt (Trisolaris, Oct 2023); $1.3M equity total (Gaingels, Growthfactory)",N,Y,LACI,2020,,Y,2025,Y,2025,N,N,N,N,N,N,N,N,Y,2025,https://evlife.co/,N,N,Y,"https://evlife.co/ (EV Climate Loan rolls tax credits into financing; customers save $200/mo; partners include Mercedes, Nissan, Hyundai; Auto Finance Summit 2025 speaker)",Haoran,5/6/2026
Evtek,Martin Naro,Agriculture Water & Waste,2021,Northeast,,Y,2022,Y,2024,https://recycletek.co/,Y,2024,product/service page,,https://www.linkedin.com/company/recycletekofficial/,N,N,,,Martin Naro,https://www.linkedin.com/in/evtek-martin/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/recycletek#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://www.evtekwaste.com/ (organic waste recycling/vermicomposting; reduces landfill),Haoran,5/6/2026
ExoCell Power,Matthew Mayer,Energy Distribution & Storage,2021,Northeast,,N,2021,N,2021,Dead website,N,N,N,,N,N,N,,,Matthew Mayer,https://www.linkedin.com/in/matthewmayer4/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/exocell-power-corporation#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
Facil.ai,Peter Willette,Energy Efficiency,2021,West,,Y,2022,Y,2025,https://www.facil.ai/,Y,2025,product/blog,,https://www.linkedin.com/company/facilai/,Y,2024,,,Peter Willette,https://www.linkedin.com/in/chuckdanner/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://www.linkedin.com/company/facilai/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/facil-ai#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,Y,LACI,2022,,Y,2024,Y,2024,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://facil.ai/ (AI-based energy efficiency platform for commercial buildings),Haoran,5/6/2026
farmernet.org,Lucy Low,Agriculture Water & Waste,2021,West,,S,2021,S,2023,https://www.farmernet.org/,Y,2023,blog/info,,https://www.linkedin.com/company/farmernetorg/,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/farmernet-org#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
FINSULATE,Bernard Hidier,Chemicals & Advanced Materials,2021,Northeast,,Y,2022,Y,2025,https://www.finsulate.com/en/,Y,2025,news/product page,,https://www.linkedin.com/company/finsulate-by-ocean-innov-maine,Y,2024,,,Bernard Hidier,https://www.linkedin.com/in/bernard-hidier-674b2a106/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://www.workboat.com/netherlands-based-sustainable-startup-headquarters-in-portland-me,N,N,N,N,,N,N,N,N,N,N,Y,Green Marine; New England Ocean Cluster; E2Tech; NEOC,Y,Cleantech Open 2021; Dirigo Labs Accelerator 2024; Maine Center for Entrepreneurs; MTI (Maine Technology Institute),N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/finsulate#overview,,,,,,,$0,,,,0.22M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.centralmaine.org/2024/06/04/finsulate-triumphs-at-dirigo-labs-pitch-competition-with-ecological-boating-solution/,2024,"$25,000 Dirigo Labs prize (2024); $25,000 Maine TopGun prize (2022); MTI grants",N,N,,,,Y,2024,Y,2024,N,N,N,Y,https://www.finsulate.com/ (Netherlands parent; US HQ Maine; 800+ boats worldwide; training in Shanghai),Y,2025,https://www.workboat.com/netherlands-based-sustainable-startup-headquarters-in-portland-me,Y,2024,https://www.finsulate.com/,N,N,Y,https://www.finsulate.com/ (non-toxic antifouling wrap; replaces toxic biocide paints; ECO Excellence 2024 Award; EU Inventor of the Year 2019; 800+ boats; commercializing for large ships 2025),Haoran,5/6/2026
Forest Founders Rewards,Ford Seeman,Agriculture Water & Waste,2021,Northeast,,S,2021,S,2022,https://www.forestfounders.org/about/,N,N,N,,N,N,N,,,Ford Seeman,https://www.linkedin.com/in/fordseeman/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/forest-founders,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
frakktal,Jhana porter,Chemicals & Advanced Materials,2021,South Central,,Y,2022,S,2024,https://www.frakktal.com/,Y,2024,product/about,,https://www.linkedin.com/company/frakktal/,N,2023,,,Founder took a full time job elsewhere two years ago,https://www.linkedin.com/in/jhanaporter/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/frakktal#overview,,,,2,,,"$25,000",,,Grant,0.23M,,2023,USD,Feb 21,,,$25K,USD,Feb 21,,,,Grant,USD,Feb 21,,,2023,USD,Feb 21,,,Grant,USD,Feb 21,,,2023,USD,Feb 21,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://frakktal.com/ (sustainable biobased materials/chemicals from agricultural waste),Haoran,5/6/2026
Gaia AI,Peter McHale,Agriculture Water & Waste,2021,Northeast,,Y,2022,Y,2025,https://www.gaia-ai.eco/,Y,2025,product/blog,,https://www.linkedin.com/company/gaiaai/,Y,2025,,,Peter McHale,https://www.linkedin.com/in/peter-mchale-a80441102/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://gaia.ai/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/gaia-ai#overview,,,,4,,,"$8,000,000",,,Venture,3.25M,,2024,USD,Aug 1,,,$5M,USD,Aug 1,,,,Seed,USD,Aug 1,,,2022,USD,Dec 7,,,Seed,USD,Aug 1,,,2024,USD,Aug1,,,N,N,N,N,N,N,,,,Y,2025,Y,2025,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://gaia.ai/ (AI for sustainable food/agriculture),Haoran,5/6/2026
GOLeafe,Arsheen Allam,Chemicals & Advanced Materials,2021,Southeast,,S,2022,S,2023,https://goleafe.com/,N,N,N,,https://www.linkedin.com/company/goleafe/,N,N,,,Arsheen Allam,https://www.linkedin.com/in/arsheen-allam-793b2933/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/goleafe#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
Good4Earth,Payal Shah,Information & Communication Tech,2021,West,,Y,2022,Y,2025,https://www.good4earth.co/,Y,2025,product/blog,,https://www.linkedin.com/company/good4earth/,Y,2025,,,Payal Shah,https://uk.linkedin.com/in/payalviralshah/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://good4earth.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/good4earth#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,Y,2024,Y,2024,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://good4earth.com/ (climate action IT/communications platform),Haoran,5/6/2026
Hago Energetics,Wilson Hago,Chemicals & Advanced Materials,2021,West,,Y,2021,Y,2025,https://hagoenergetics.com/,Y,2025,blog/news,,N,Y,2025,,,Wilson Hago,https://www.linkedin.com/in/wilson-hago-a168366/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://hagoenergetics.com/2023/10/31/hago-energetics-benefit-corporation-wins-carbon-development-initiative-grant-award/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021; Larta Institute Venture Fellows; CalTestBed; NYSERDA; Tampa Bay Innovation Center; New Energy Nexus,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/hago-energetics-9828,,,,6,,,"$350,000",,,"Grant, Venture",0.425,,2022,USD,Oct 14,,,$50K,USD,Dec 7,,,,Venture - Series Unknown,USD,Dec 7,,,2022,USD,Oct 14,,,Grant ,USD,Oct 14,,,2022,USD,Oct 14,,,Y,https://hagoenergetics.com/2023/10/31/hago-energetics-benefit-corporation-wins-carbon-development-initiative-grant-award/,2024,$350K NYSERDA CDI Grant,N,N,,,,Y,2025,Y,2025,N,N,N,N,N,N,N,N,Y,2025,https://hagoenergetics.com/,N,N,Y,https://hagoenergetics.com/ (carbon-negative hydrogen+biochar from agricultural waste; reduces GHG),Haoran,5/6/2026
Hexas Biomass Inc.,Wendy Owens,Agriculture Water & Waste,2021,Pacific Northwest,,Y,2022,A,2025,https://hexas.com/,Y,2025,news/product,,https://www.linkedin.com/company/hexas-biomass,Y,2024,,,Wendy Owens,https://www.linkedin.com/in/eric-singsaas-30801740/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://www.globenewswire.com/news-release/2025/12/08/3201359/0/en/Bioleum-Corporation-Acquires-Hexas-Biomass-Inc.html,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021; DOE SBIR Phase II; Cartier Womens Initiative 2023; Shell GameChanger; Larta; Comstock/Bioleum,N,N,N,N,"Y - Acquired by Bioleum Corporation (Dec 8, 2025)",N,N,N,,,,https://www.crunchbase.com/organization/hexas-biomass#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://comstock.inc/press-release/bioleum-corporation-acquires-hexas-biomass-inc/,2025,Undisclosed acquisition by Bioleum (Dec 2025); DOE SBIR Phase II grant,N,N,,,,N,N,N,N,N,N,N,Y,"https://hexas.com/ (global customers in energy, biofuels, structural)",Y,2025,https://comstock.inc/press-release/bioleum-corporation-acquires-hexas-biomass-inc/,Y,2025,https://hexas.com/,N,N,Y,https://hexas.com/ (XanoGrass replaces wood/fossil feedstocks; carbon-negative; SAF production; #11 hottest company in Advanced Bioeconomy 2024; acquired Bioleum Dec 2025),Haoran,5/6/2026
Hoopoe Energy,Ali Karimian,Energy Distribution & Storage,2021,Northeast,,N,2021,N,2021,Dead website,N,N,N,,N,N,N,,,Ali Karimian,https://www.linkedin.com/in/ali-karimian123/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,Not in Crunchbase,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
Hydragas Energy Limited,Philip Morkel,Energy Generation,2021,Pacific Northwest,,S,2021,S,2022,https://hydragas.net/,N,N,N,,N,N,N,,,Philip Morkel,https://ca.linkedin.com/in/philipmmorkel/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/hydragas-energy#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
Hydronic Shell Technologies,David Goldstein,Green Buildings,2021,Northeast,,Y,2022,Y,2025,https://www.hydronicshell.com/,Y,2025,product/news,,https://www.linkedin.com/company/hydronic-shell-technologies/,Y,2024,,,David Goldstein,https://www.linkedin.com/in/david-goldstein-pe-11b0a612/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://hydronicshelltechnologies.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/hydronic-shell-technologies#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://hydronicshelltechnologies.com/ (energy efficient green building retrofit technology),Haoran,5/6/2026
Hydrova,Julian Davis,Energy Distribution & Storage,2021,West,,S,2022,S,2023,https://www.hydrovatech.com/,N,N,N,,https://www.linkedin.com/company/hydrovatech/,N,N,,2024,Julian Davis,https://www.linkedin.com/in/juliandavis25/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/hydrova#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
HYFOIL Marine,Kyra Goldsmith,Transportation,2021,Northeast,,Y,2022,Y,2025,https://hyfoilmarine.com/,Y,2025,product/news,,https://www.linkedin.com/company/hyfoilmarine/,Y,2025,,,Kyra Goldsmith,https://www.linkedin.com/in/kyra-goldsmith-660955a/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://www.hyfoil.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/hyfoil-marine,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://www.hyfoil.com/ (hydrogen-powered foiling vessel for zero-emission marine transport),Haoran,5/6/2026
Innovasion Labs PINC Inc,Inanc Ortac,Energy Distribution & Storage,2021,West,,Y,2022,Y,2025,https://innovasionlabspinc.com/,Y,2025,product/news,,https://www.linkedin.com/company/pincbv/,Y,2025,,,Inanc Ortac,https://www.linkedin.com/in/inanc-ortac-49412b13/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://www.pinc.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/innovasion-labs-pinc#overview,,,,2,,,"$2,000,000",,,Venture,4.85M,,2023,USD,Dec 1,,,$2M,USD,Dec 1,,,,Seed,USD,Dec 1,,,2023,USD,Dec 1,,,Seed ,USD,Dec 1,,,2023,USD,Dec 1,,,N,N,N,N,N,N,,,,Y,2025,Y,2025,N,N,N,Y,https://www.pinc.com/ (US + Netherlands),N,N,N,Y,2025,https://www.pinc.com/,N,N,Y,https://www.pinc.com/ (IoT/AI platform for supply chain energy efficiency tracking),Haoran,5/6/2026
"inRG Solutions, LLC",Kerry McBee,Energy Distribution & Storage,2021,West,,Y,2022,Y,2025,Dead website,Y,2025,product/news,,https://www.linkedin.com/company/inrg-solutions/,Y,2024,,,Kerry McBee,https://www.linkedin.com/in/kerry-mcbee-ph-d-p-e-0278771b/,N,N,N,N,N,N,N,N,N,N,Y,2024,https://inrg.energy/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,Not in Crunchbase,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://inrg.energy/ (distributed energy resource management; grid optimization),Haoran,5/6/2026
iWaterTech,Connor Payne,Green Buildings,2021,West,,Y,2022,Y,2025,Dead website,Y,2025,product/news,,https://www.linkedin.com/company/iwatertech/,Y,2025,,,Connor Payne,https://www.linkedin.com/in/connor-payne-aaa26184/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://iwatertech.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/iwatertech#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://iwatertech.com/ (water efficiency technology for green buildings),Haoran,5/6/2026
"Joule, Inc",Barry Isaac,Energy Generation,2021,West,,Y,2022,Y,2025,https://www.joulegen.com/,Y,2025,product/news,,https://www.linkedin.com/company/joinjoule/,Y,2025,,,Barry Isaac,https://www.linkedin.com/in/barry-isaac-64397b7/,N,N,N,N,N,N,N,N,N,N,Y,2025,https://joinjoule.com/,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/joule-48fa#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,Y,LACI,2022,,Y,2025,Y,2025,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,https://joinjoule.com/ (clean energy marketplace for households),Haoran,5/6/2026
KAI Systems,Michael Mason,Transportation,2021,West,,N,2021,N,2021,https://kaisystems.com/,N,N,N,,N,N,N,,,Michael Mason,https://www.linkedin.com/in/bill-haywood-1722b834/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,Y,Cleantech Open 2021,N,N,N,N,N,N,N,N,,,,https://www.crunchbase.com/organization/kai-systems#overview,,,,,,,$0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Haoran,5/6/2026
